salesman number,salesman,gender,age,mobile phone
12327269,Qi Hanxiang,Male,49,18911319405
12435452,Jeffrey Robinson,Male,48,18658605272
12332806,Anita Hall,Female,42,15682226940
12424503,Lester Lewis,Male,41,18991507271
12332446,Auberon Robinson,Male,48,15051381078
12415760,Bai Youyi,Female,43,13820491699
12127144,Tao Zhiyong,Male,48,13955068968
12526531,Li Benqing,Male,49,13889199951
12126289,Kong Yuqiao,Unknown,45,15099570975
12426902,Chen Gurui,Female,41,18674936591
12432055,Eulalia Brown,Female,43,15611521923
12518342,Aggie Smith,Female,39,15673271314
12431021,Yan Yingzhi,Unknown,45,18692168525
12014717,Sara Patel,Female,48,15029521800
12337168,Shui Yihan,Female,44,13962668922
12431994,Zou Lengrou,Female,43,13825496694
12122968,Kong Maoan,Male,46,13864597380
12532045,Sun  biqin,Female,41,13986404059
12032215,Jode Brown,Female,38,13911518558
12315613,Zhou Yuandong,Female,42,15024083648
12514811,George Smith,Male,44,18694675683
12327620,Nicholas Hughes,Unknown,48,18675499803
12514199,Brian Brown,Male,47,15009690461
12522491,Diana Thompson,Female,41,13834712519
12425908,Qian Nandie,Female,38,13877463593
12115093,Wang Wenqiu,Female,42,13863422390
12436008,Jiang Jingwen,Male,44,15647649410
12119271,Sun Chufeng,Female,45,18980635996
12434057,Clarence Green,Male,45,15694718398
12037041,Tao Bochang,Male,42,15059214621
12335039,Shui Zhuyu,Male,49,13866763281
12020185,Dominic Green,Male,43,18621769806
12418797,Xu Fanrui,Male,48,18676986941
12210848,Zou Banqin,Female,41,13901142432
12433958,Chu Wenming,Male,40,18630883140
12521002,Zhao Zhengsong,Male,42,13872170639
12118687,Wu Xiangxing,Male,46,15069982275
12119396,Qi Guqiu,Female,38,18600565512
12324534,Cao Hanming,Male,40,18618114148
12525859,Vivian Clarke,Male,49,18974833067
12221632,Chen Yuanxiang,Male,48,15639968841
12313505,Jennifer Walker,Female,43,13947733265
12310238,Bai Ningzhen,Female,45,13817326705
12311479,Yan Yuanxiang,Male,44,15057827326
12013478,Audrey Evans,Female,47,13867209171
12435225,Jiang Jingjie,Male,46,15604747830
12236014,Bernie Wilson,Male,40,18641154719
12111313,Yu Qizheng,Male,42,13884540617
12224137,Mandy Smith,Female,46,15021347865
12539050,Micky Patel,Male,40,18936331523
12326059,Tao Manrui,Male,43,13825405039
12417746,Christopher Walker,Male,46,15016604133
12030117,Patrick Johnson,Male,38,15059073373
12219072,Allen Walker,Male,47,13971923563
12420468,Yan Panhai,Female,44,13885393179
12233965,He Yukun,Male,48,18967603677
12435614,Alistair Walker,Male,47,15066175538
12316525,Arnold Wright,Male,40,13813278638
12529518,Yang  zixue,Female,49,15664059213
12328742,Sun Hanxiang,Female,45,15059741639
12322803,Shen Mengbai,Female,41,13973701454
12316197,Susan Hall,Female,45,18972414010
12221899,Hilda Harris,Female,43,13863391481
12330991,Jiang Shengxiang,Male,40,15639234045
12214772,Dora Thompson,Female,40,15693789626
12418115,Daniel Green,Male,44,18604930949
12320323,Eric Lewis,Unknown,44,15013323584
12519469,Qi Jiaye,Male,43,13885966956
12516226,Wilfred Smith,Male,43,18614883720
12424336,Andrew Davies,Male,39,18668717910
12235216,Jiang Jiaji,Male,39,18632801398
12316744,Shui Huaiyun,Female,40,13916281841
12416092,Tricia Lewis,Unknown,49,15644251290
12220553,Xu Qintao,Male,46,13907947978
12218288,Wu Ruyu,Male,48,15033727825
12229531,Jiang Tingping,Female,40,15640956081
12221072,Otto Clarke,Male,45,13812729202
12312046,Shen Yuzhou,Male,38,15633087233
12025139,Cao Ruyu,Unknown,46,18945455832
12115836,Jasper Wright,Male,41,15025038804
12117004,Feng Yishan,Female,48,15050103259
12216205,Hannah Jackson,Female,38,15686777514
12426539,Han Anxuan,Female,41,18686914320
12137374,Yang Jingjie,Unknown,49,18695883703
12127202,Wei Runbin,Male,47,15633980855
12023846,Qian Linghan,Female,39,13829631725
12132122,Tao Yihan,Unknown,48,13882601885
12039400,Bai Rusi,Female,48,15080012926
12338078,Bai Hanzhe,Male,41,18938086436
12039560,Jing Kaiyu,Male,44,18649382405
12517523,Feng Yixian,Male,46,13883896077
12415486,Shen Shitong,Female,39,13826123601
12135018,Michael Harris,Male,46,13846486784
12135341,You Shengjian,Male,47,15063264518
12222491,Wei Xiaoshan,Female,42,15069443206
12019471,Mabel Smith,Female,41,13860891882
12530440,Theodore Jones,Male,46,15637550207
12225597,Anne Davies,Unknown,48,18946670873
12115077,Kong Aonan,Female,45,13891465941
12326047,Theobald Thompson,Male,46,18628061981
12111754,Zhang Jiayu,Male,43,15035685329
12514680,Naomi Lewis,Female,48,15632679243
12413922,Qing Maoan,Male,45,13850673191
12134314,Qian Huahong,Male,39,15036808740
12213609,Qing Canning,Unknown,41,13898229676
12324069,Zhu Yiye,Male,49,18989797324
12129674,Phoebe White,Unknown,49,13867433379
12233191,Wu Xiangchen,Male,45,18662243923
12036695,Theo Edwards,Male,40,18942438052
12116862,Sun Siyu,Male,40,18941979727
12529164,Montgomery Hughes,Male,44,13960406694
12436625,Li Lewen,Male,44,13800724495
12514460,Qi Jiabin,Male,48,13883890984
12321273,Jeanie Evans,Female,46,15698201024
12036228,Leslie Evans,Male,39,15086706736
12425955,Greg Wright,Male,39,18980924072
12510669,Yu Youcui,Female,47,18603731574
12416737,Ivy Walker,Female,48,13833189147
12534888,Qing Shiyun,Female,43,18647249691
12416295,Judy Wright,Female,45,13872056675
12230489,Zou Haozhen,Male,48,18613342990
12122116,He Huaibai,Female,48,18615409124
12029194,Charlotte Davies,Female,47,13949976177
12237086,Yu Chutai,Unknown,49,13928637245
12318946,June Hall,Female,48,18971216787
12436121,Olive Taylor,Unknown,49,18904349852
12425384,Wu Jiayu,Male,39,13981604436
12229960,Yang Xiangheng,Unknown,40,13971686381
12433548,Yang Manyun,Female,47,18946478788
12121482,Cheryl White,Female,39,13848911709
12339679,Judy Wilson,Unknown,48,15089757539
12038361,Han Leqiao,Unknown,38,15041556592
12527516,Tao Hanfeng,Female,44,15609768742
12313598,You Boran,Unknown,43,13963049796
12122160,Wang Feifeng,Female,44,13934358401
12335446,Benjamin Davies,Male,38,13866484683
12235396,Lv Jingwei,Male,45,18930958702
12237544,Zhang Yousong,Female,46,18677768520
12328805,Van Hughes,Male,41,15630507980
12031332,Qi Erqing,Female,48,18957695206
12020964,Alma Williams,Female,42,15615781133
12421605,Allson Evans,Female,39,18668152894
12035626,Zhang Chilv,Female,44,13830355133
12136134,Rick Walker,Male,43,13845732810
12416284,Bonny Robinson,Female,48,13888867967
12425910,Qi Ruize,Male,46,18669476121
12018649,Li Yingtian,Female,44,15661798348
12239094,Shi Wenming,Male,49,15079523863
12221102,Kong Nianyang,Female,41,13999858015
12518556,Wei Youman,Female,43,15690572094
12311975,Zhou Huanqing,Female,41,15060104803
12536891,You Shaohu,Unknown,41,18985524552
12017045,Oliver Wilson,Male,48,15014605907
12424327,Bai Dongshuang,Female,42,13815686144
12413795,Carrie Hughes,Female,39,13962102137
12315421,Felicity Roberts,Female,47,18622474204
12537488,Corinna Smith,Female,38,18958346054
12239408,Yan Rongchun,Male,47,13844681925
12011046,Maureen Williams,Female,39,15075333888
12228229,Jing Qize,Male,39,18911514543
12311516,Charlene Hall,Female,46,15059383162
12334464,Lou Green,Male,39,13891114271
12518878,Joseph Davies,Unknown,45,13853290517
12429047,Xie Zicheng,Male,46,18926328538
12436637,You Hanfeng,Female,47,13902596073
12522716,Yan Chunan,Male,48,18603989796
12430996,Yan Chilv,Female,49,18915653755
12419287,Gene Wright,Unknown,49,15610458103
12217585,Zheng Jingyun,Male,38,13913682824
12221121,Liu Shiyi,Male,49,18698191833
12133454,Xie Jiafu,Male,48,18680749663
12225987,Timothy Wright,Male,46,18913709126
12528382,Agnes Roberts,Female,45,18601984515
12131941,Zhang Zhaoyu,Male,49,13998207774
12037719,Jiang Yuqiao,Female,46,15045639100
12012916,Avis Roberts,Female,46,15005657290
12014578,Chen Nianer,Female,38,15697366927
12138945,Qing Muxue,Female,46,18636223046
12131615,Li Rufeng,Female,45,13916883945
12321618,Martina Patel,Female,44,15636960302
12238246,Jing Muhua,Male,38,15023695830
12139679,Qing Chumei,Female,47,13830026419
12017346,Mary Edwards,Female,44,18654024091
12118600,Hortensia Jackson,Female,45,15698891214
12320965,He Yunshuo,Male,43,15676339540
12439790,Maureen Davies,Female,48,18621719561
12418673,Lisa Smith,Female,48,18924197525
12233874,Norm Clarke,Male,46,15687418212
12225869,Norman Brown,Male,45,13924880879
12539071,Catherine Clarke,Female,49,13884191170
12319812,David Robinson,Male,45,13976135052
12112989,Cathy Edwards,Unknown,47,13965664105
12413168,Malcolm Brown,Male,41,13929836941
12236091,Wang Yingtao,Female,44,15074810279
12025169,Cao Yuanhong,Male,46,18679830367
12416588,Dou Yunshuo,Male,49,15005616385
12017694,Malcolm Edwards,Male,47,13915906463
12515114,Bai Dongtao,Female,48,13859120738
12122583,Tel Hughes,Male,44,15637211321
12525405,You Qiaoqing,Female,48,13956614701
12014564,Qian Jiaxuan,Male,38,13857780312
12418355,Qing Fanyan,Female,40,15068236084
12327333,Zhao  youhui,Female,42,18687016162
12032968,Salome Patel,Female,48,13969020238
12421132,Gavin Thomas,Unknown,46,13945479844
12226558,Jiang Hanxuan,Female,47,18629063473
12110646,Li Ningzhen,Female,42,15653467851
12216614,Martha Clarke,Female,46,18616903538
12327875,Zhao Jiayu,Male,39,18681271060
12012185,Xie Minghan,Male,43,18653864171
12315167,Ollie Smith,Male,44,15077767818
12134925,Qi Binzhu,Male,39,15651555135
12034588,Georgie Taylor,Female,40,15617066125
12037729,Xu  menghan,Female,43,18931198598
12437885,Marshall Hall,Unknown,47,15004010251
12235844,Olive Wright,Female,43,13844156177
12336054,Zhou Miyan,Female,38,15014782909
12112991,Kong Xiaocui,Female,40,15021189476
12338716,Lv Jianrong,Male,47,18941514162
12420499,Milton Smith,Unknown,39,15044189671
12410622,Muriel White,Female,39,13856749672
12428543,Zou Moyu,Male,46,13949270728
12023673,Matt Thompson,Male,43,13932324056
12225467,Dennis Patel,Male,41,15077553455
12424489,Sun Yankun,Male,43,18922417437
12318408,Ozzie Smith,Male,38,13900350627
12330621,Han Hanwu,Male,39,18637769897
12235942,Jesse Johnson,Male,49,15031069354
12222563,Dermot Robinson,Male,48,18650644724
12230770,Qi Rufeng,Female,46,18619187298
12434143,He Ruoyun,Female,39,15621794465
12038682,Reg Johnson,Male,49,18685857534
12312745,Chen Ruoke,Male,40,15647985130
12338282,Yu Feiqing,Female,46,18922745977
12525590,Mitchell Hughes,Male,42,18978658432
12122794,Persis Wright,Unknown,45,15626473469
12112265,Xu Ruichen,Male,49,13821706846
12418927,Kong Huaibai,Female,43,18643797214
12016460,Mildred Wright,Unknown,48,13933700776
12315527,Noah Harris,Unknown,47,13935818451
12332347,Camilla Smith,Female,47,13966547841
12016367,Fidelia Hall,Female,40,15028279376
12529214,Shi Hongbang,Male,42,18947053480
12134141,Alden Williams,Male,47,15624803627
12316252,Paul Edwards,Unknown,43,13880541935
12036467,Zhu Hanxuan,Female,40,18639347903
12011140,Emlyn Clarke,Male,43,15608040152
12536686,Jiang Zibin,Male,43,15612372969
12121692,Milton Hall,Male,49,15090666285
12513030,Mike Evans,Male,39,15036042990
12436146,Xu Yingzhi,Female,41,18664619638
12523299,Adelina Hughes,Female,43,13925252488
12437599,Christian Wright,Male,47,13840211082
12219737,Han Haizhen,Unknown,47,13821047811
12417316,Pete Evans,Male,49,15011038308
12217826,Chen Haoyan,Male,47,13870705830
12038659,You Qicheng,Male,49,15640275929
12413257,Felix Walker,Male,44,15097426676
12330117,Bai Chutai,Male,43,15690813331
12222258,Trudie Lewis,Unknown,40,18962375539
12217141,Cynthia Patel,Female,39,18678419999
12331357,Basil White,Male,40,13903524310
12233340,Lv Wanzhi,Female,47,18940947434
12022300,Diana Robinson,Unknown,48,13995890033
12412115,Lisa Taylor,Unknown,41,15685475495
12420497,Amos Walker,Male,44,13863852369
12138586,He Yihao,Male,40,15652825716
12417748,Frank Jackson,Male,47,13816321884
12036696,Miranda Williams,Female,38,18614818998
12025630,Qian Xiaodie,Female,45,13857683633
12513037,Gracie Davies,Female,40,13890402716
12122802,Tao Erqing,Female,43,15651177344
12120074,Wang Lisheng,Male,47,13947865508
12525982,Tricia Taylor,Female,41,18977282386
12238364,Ron Hall,Male,39,18659430348
12234902,Lee Lewis,Male,39,18931182645
12211993,Sun Yinger,Female,41,13906794354
12413753,Martina Clarke,Female,49,15049305906
12015495,He Hongbang,Male,40,18673404616
12015859,Jeanie Wilson,Female,44,13849533904
12519044,Charlene Wright,Female,44,15097750967
12515413,Jing Hanshuang,Female,42,18935024518
12114619,You Dongsi,Female,47,18955639487
12310629,Jing Huaibai,Female,46,13834724532
12017808,Libby Patel,Female,44,18921558921
12412926,Xu Bingzhi,Male,40,15666294015
12313059,Nora Green,Female,40,13832927004
12020790,Sun Shizhen,Female,48,13871926181
12223235,Glenda Taylor,Female,41,15090285509
